ts_code,list_date,delist_date
600000.SH,1999-11-10,
600001.SH,1998-01-22,2009-12-29
600002.SH,1998-04-08,2006-04-24
600003.SH,1999-08-10,2010-02-26
600004.SH,2003-04-28,
600005.SH,1999-08-03,2017-02-14
600006.SH,1999-07-27,
600007.SH,1999-03-12,
600008.SH,2000-04-27,
600009.SH,1998-02-18,
600010.SH,2001-03-09,
600011.SH,2001-12-06,
600012.SH,2003-01-07,
600015.SH,2003-09-12,
600016.SH,2000-12-19,
600017.SH,2006-10-17,
600018.SH,2006-10-26,
600019.SH,2000-12-12,
600020.SH,2003-08-08,
600021.SH,2003-10-29,
600022.SH,2004-06-29,
600023.SH,2013-12-19,
600025.SH,2017-12-15,
600026.SH,2002-05-23,
600027.SH,2005-02-03,
600028.SH,2001-08-08,
600029.SH,2003-07-25,
600030.SH,2003-01-06,
600031.SH,2003-07-03,
600032.SH,2021-05-25,
600033.SH,2001-02-09,
600035.SH,2004-03-10,
600036.SH,2002-04-09,
600037.SH,2001-02-08,
600038.SH,2000-12-18,
600039.SH,2003-03-25,
600048.SH,2006-07-31,
600050.SH,2002-10-09,
600051.SH,1997-04-10,
600052.SH,1997-04-15,
600053.SH,1997-04-18,
600054.SH,1997-05-06,
600055.SH,1997-05-19,
600056.SH,1997-05-15,
600057.SH,1997-06-04,
600058.SH,1997-05-28,
600059.SH,1997-05-16,
600060.SH,1997-04-22,
600061.SH,1997-05-19,
600062.SH,1997-05-22,
600063.SH,1997-05-28,
600064.SH,1997-05-06,
600065.SH,1997-05-23,2007-12-13
600066.SH,1997-05-08,
600067.SH,1997-05-08,
600068.SH,1997-05-26,2021-09-13
600069.SH,1997-04-30,2020-08-27
600070.SH,1997-06-04,2025-04-30
600071.SH,1997-05-28,
600072.SH,1997-06-03,
600073.SH,1997-07-04,
600074.SH,1997-06-23,2020-06-02
600075.SH,1997-06-17,
600076.SH,1997-05-26,
600077.SH,1997-05-20,2023-07-25
600078.SH,1997-06-27,
600079.SH,1997-06-06,
600080.SH,1997-06-12,
600081.SH,1997-07-03,
600082.SH,1997-06-20,
600083.SH,1997-06-06,2025-03-05
600084.SH,1997-07-11,
600085.SH,1997-06-25,
600086.SH,1997-06-06,2021-03-17
600087.SH,1997-06-12,2014-06-05
600088.SH,1997-06-16,
600089.SH,1997-06-18,
600090.SH,1997-06-16,2022-07-07
600091.SH,1997-07-04,2022-06-21
600092.SH,1997-06-26,2006-11-30
600093.SH,1997-06-26,2022-06-23
600094.SH,1997-07-03,
600095.SH,1997-07-08,
600096.SH,1997-07-09,
600097.SH,1997-06-19,
600098.SH,1997-07-18,
600099.SH,1997-07-04,
600100.SH,1997-06-27,
600101.SH,1997-06-27,
600102.SH,1997-08-28,2012-02-28
600103.SH,1997-07-03,
600104.SH,1997-11-25,
600105.SH,1997-09-29,
600106.SH,1997-06-18,
600107.SH,1997-11-06,
600108.SH,1997-08-18,
600109.SH,1997-08-07,
600110.SH,1997-10-07,
600111.SH,1997-09-24,
600112.SH,1997-11-27,2024-08-15
600113.SH,1997-10-21,
600114.SH,2004-05-11,
600115.SH,1997-11-05,
600116.SH,1997-08-04,
600117.SH,1997-10-15,
